  944 244.83 529.50 16.945  1.613  1.876
  945 377.06 530.86 19.066  1.278  1.489 R164
  947 457.53 532.16 16.505  0.875  1.152 P104, R176
  953 344.30 535.14 18.965  1.732  1.910 P203, R167
  958 384.37 536.25 18.227  1.073  1.367 P264, R172
  961 471.66 538.48 17.973  1.182  1.436 P219, R182
  965 211.36 540.63 19.174  1.151  1.473
  967 323.13 540.69 16.598  0.878  1.097 P146, R171
  968 367.24 541.18 14.952  1.579  1.818 P23, R177
  969 298.01 541.84 15.108  0.465  0.657 F42, Pb
  970 236.67 542.41 16.779  1.802  1.909
  971 427.70 543.27 16.313  0.623  0.812 P40, R235
  972 270.35 543.82 19.459  1.417  1.630
  973 454.89 543.63 15.822  0.548  0.727 F60, P57, R188, O5
  974 486.56 544.35 18.121  1.012  1.296 P240, R191, O6
  975 378.51 544.39 15.308  0.536  0.725 I779, P28, R180
  976 390.30 544.67 16.592  0.654  0.877 P261, R181
  977 214.40 545.43 18.585  1.039  1.352
  978 403.65 545.29 17.910  0.970  1.198 P258, R185
  979 145.85 545.54 18.379  1.046  1.399
  980 384.31 546.46 18.600  1.103  1.364 P263, R183
  981 149.13 547.00 17.402  0.940  1.210
  982 388.70 546.74 18.312  1.016  1.266 P260
  983 420.51 547.07 17.363  1.722  1.951 P139, R190
  984 120.27 547.26 18.403  1.197  1.371
  985 252.45 547.77 18.757  1.110  1.339
  989 209.47 550.34 17.738  1.175  1.452
  995 396.63 553.33 19.607  1.262  1.430 R195
  996 390.70 553.49 18.391  1.267  1.512 P259, R192
  998 192.50 553.9  17.154  0.954  1.233
  999 452.09 553.99 17.809  1.051  1.247 P220, R197, O7
 1000 252.75 554.29 18.125  1.017  1.262
 1004 473.82 554.94 15.365  0.488  0.658 P56, R200
 1006 262.08 555.46 15.751  0.518  0.713 P12
 1007 269.25 555.50 17.428  1.161  1.306 P120
 1010 258.46 557.41 19.102  1.241  1.497
 1011 149.55 558.00 16.477  0.944  1.190
 1019 312.75 562.99 19.794  1.330  1.570 R196
 1020 328.26 563.61 17.022  0.889  1.187 P291, R198, O11
 1021 303.66 563.57 18.484  1.357  1.533
 1023 271.06 563.80 18.723  1.255  1.545
 1024 472.50 563.74 16.379  0.696  0.900 P247, R208
 1027 483.59 564.22 17.833  1.045  1.253 P242, R211
 1029 214.27 564.42 17.225  1.254  1.508
 1031 260.82 565.08 18.905  1.144  1.380
 1035 490.28 565.84 16.849  0.867  1.112 P241, R215
 1036 495.84 566.04 14.379  0.380  0.649 F28, P98, R217
 1037 474.63 566.44 17.883  0.893  1.202
 1040 219.36 566.70 19.308  1.145  1.546
 1043 186.36 567.65 17.983  1.415  1.643
 1047 340.76 568.44 19.531  1.168  1.533 R203
 1048 403.27 568.59 15.327  0.486  0.644 P94, R206
 1050 147.54 569.33 19.220  1.276  1.601
 1052 364.05 570.27 17.534  0.985  1.219 P257, R205, O10
 1055 349.25 573.27 18.033  1.022  1.253 P147, R207, O12
 1056 244.43 574.05 18.752  1.112  1.346
 1062 384.34 575.98 17.091  1.000  1.248 P255, R220, O9
 1063 290.03 577.42 17.946  1.673  1.883 P197, O14
 1067 473.36 577.91 17.999  0.959  1.206 P245
 1073 474.36 580.33 15.682  0.513  0.698 P54, R231
 1076 422.59 583.11 13.470  0.400  0.577 I793, P39, R230
 1077 188.08 585.42 20.250  1.122  1.639
 1081 172.90 586.60 17.879  1.323  1.527
