
			NGC 7790 - Phelps & Janes 1994

star     x       y      V      B-V    U-B    dV   dBV   dUB   dP   nV nB nU
  154  592.55  104.85 16.782  0.906  0.374  0.00  0.00  0.00 0.12  1  1  1
  155   31.94  106.41 18.277  1.368 99.999  0.00  0.00  0.00 0.07  1  1  0
  156  473.36  107.15 18.467  1.307 99.999  0.00  0.00  0.00 0.15  2  2  0
  157   22.60  107.42 18.568  1.128 99.999  0.00  0.00  0.00 0.12  1  1  0
  158  601.56  108.04 12.141  1.502  1.471  0.00  0.00  0.00 0.03  1  1  1
  159  208.37  108.52 18.180  1.079  0.647  0.00  0.00  0.00 0.07  1  1  1
  160  168.65  111.34 18.933  0.832 99.999  0.00  0.00  0.00 0.04  1  1  0
  161  956.71  112.20 17.610  1.403 99.999  0.00  0.00  0.00 0.05  1  1  0
  162   91.82  112.29 18.105  0.913  0.633  0.00  0.00  0.00 0.13  1  1  1
  163  558.36  112.26 18.160  1.231 99.999  0.00  0.00  0.00 0.08  1  1  0
  164  269.99  113.67 18.771  1.280 99.999  0.00  0.00  0.00 0.10  1  1  0
  165  115.17  114.05 16.987  0.940  0.349  0.00  0.00  0.00 0.17  1  1  1
  166  631.88  114.38 19.554  1.162 99.999  0.00  0.00  0.00 0.62  1  1  0
  167  159.38  114.30 19.811  0.689 99.999  0.00  0.00  0.00 0.23  1  1  0
  168   11.98  115.55 18.635  1.487 99.999  0.00  0.00  0.00 0.16  1  1  0
  169   24.79  116.25 16.534  1.839 99.999  0.00  0.00  0.00 0.19  1  1  0
  170  651.33  117.10 20.622  0.472 99.999  0.00  0.00  0.00 0.46  1  1  0
  171  654.38  118.01 17.838  1.535 99.999  0.00  0.00  0.00 0.17  1  1  0
  172  381.73  118.59 18.006  0.947 99.999  0.00  0.00  0.00 0.03  1  1  0
  173   25.47  118.88 13.429  0.342 -0.161  0.00  0.00  0.00 0.12  1  1  1
  174  632.99  119.80 16.778  1.573  1.212  0.00  0.00  0.00 0.25  1  1  1
  175  681.58  120.16 16.487  1.692  2.232  0.00  0.00  0.00 0.20  1  1  1
  176  558.27  121.28 19.587  1.477 99.999  0.00  0.00  0.00 0.27  1  1  0
  177  696.39  121.38 18.090  1.299 99.999  0.00  0.00  0.00 0.17  1  1  0
  178  626.58  122.03 18.766  1.480 99.999  0.00  0.00  0.00 0.48  1  1  0
  179  416.76  122.85 17.904  1.080 99.999  0.00  0.00  0.00 0.13  1  1  0
  180  629.86  123.68 17.829  1.407  0.888  0.00  0.00  0.00 0.16  1  1  1
  181  104.58  123.67 17.535  1.618 99.999  0.00  0.00  0.00 0.01  1  1  0
  182  917.72  124.49 12.371  0.537  0.414  0.00  0.00  0.00 0.06  1  1  1
  183  178.36  125.14 19.088  1.174 99.999  0.00  0.00  0.00 0.37  1  1  0
  184  867.83  125.78 18.078  1.150  0.029  0.00  0.00  0.00 0.42  1  1  1
  185   63.91  125.84 16.052  0.848  0.320  0.00  0.00  0.00 0.16  1  1  1
  186  490.49  125.79 19.193  1.294 99.999  0.00  0.00  0.00 0.19  2  2  0
  187  507.28  126.73 19.041  1.189 99.999  0.00  0.00  0.00 0.11  2  2  0
  188  482.16  126.93 18.353  1.065 99.999  0.00  0.00  0.00 0.04  2  2  0
  189  529.31  127.91 16.686  1.566 99.999  0.00  0.00  0.00 0.15  1  1  0
  190  896.22  128.72 14.681  0.574  0.398  0.00  0.00  0.00 0.08  1  1  1
  191  527.20  129.30 14.546  0.491  0.251  0.00  0.00  0.00 0.06  1  1  1
  192   99.92  130.13 16.613  0.811  0.353  0.00  0.00  0.00 0.06  1  1  1
  193  943.66  130.49 19.335  1.097 99.999  0.00  0.00  0.00 0.15  1  1  0
  194  694.26  132.35 17.432  0.871  0.445  0.00  0.00  0.00 0.23  1  1  1
  195  318.71  132.75 14.747  0.680  0.525  0.00  0.00  0.00 0.03  1  1  1
  196  864.15  133.12 18.363  1.119 -0.115  0.00  0.00  0.00 0.31  1  1  1
  197    2.91  134.99 17.998  1.087  0.360  0.00  0.00  0.00 0.37  1  1  1
  198   57.90  134.92 18.161  0.963  0.429  0.00  0.00  0.00 0.19  1  1  1
  199  179.10  135.22 15.938  0.922  0.487  0.00  0.00  0.00 0.10  1  1  1
  200  243.02  136.95 18.578  1.588 99.999  0.00  0.00  0.00 0.30  1  1  0
  201  799.25  137.53 18.199  1.029 99.999  0.00  0.00  0.00 0.04  1  1  0
  202  745.76  138.56 17.766  0.873  0.040  0.00  0.00  0.00 0.06  1  1  1
  203  272.41  139.31 13.496  1.486  1.526  0.00  0.00  0.00 0.03  1  1  1
  204  220.54  139.46 20.025  1.478 99.999  0.00  0.00  0.00 0.30  1  1  0
  205  213.95  139.52 16.197  0.942  0.541  0.00  0.00  0.00 0.13  1  1  1
  206  765.58  139.76 15.179  0.439  0.136  0.00  0.00  0.00 0.04  1  1  1
  207  957.09  139.83 18.291  0.776  0.391  0.00  0.00  0.00 0.33  1  1  1
  208  465.45  140.42 19.703  1.080 99.999  0.00  0.00  0.00 0.31  1  1  0
  209  259.57  140.92 17.870  0.831 99.999  0.00  0.00  0.00 0.02  1  1  0
  210  461.01  141.38 18.803  0.788 99.999  0.01  0.02  0.00 0.23  2  2  0
  211  186.18  141.23 14.771  1.463  1.250  0.00  0.00  0.00 0.05  1  1  1
  212   90.35  141.92 17.034  0.823  0.438  0.00  0.00  0.00 0.17  1  1  1
  213  618.72  142.07 19.381  1.279 99.999  0.00  0.00  0.00 0.32  1  1  0
  214  910.02  142.25 19.279  0.941 99.999  0.00  0.00  0.00 0.56  1  1  0
  215  179.28  142.50 19.403  1.638 99.999  0.00  0.00  0.00 0.23  1  1  0
  216  412.96  143.10 18.074  1.197 99.999  0.00  0.00  0.00 0.04  1  1  0
