 65 122.14 174.15 18.230         0.635 0.326 0.677       0.010 0.011 0.011 0.014
 66 124.31 408.08 21.347         1.071 0.612 1.373       0.113 0.081 0.054 0.069
 67 124.49 340.64 19.577         0.351 0.605 1.011       0.023 0.025 0.020 0.024
 68 126.93 414.42 16.498         0.690 0.380 0.812       0.038 0.025 0.011 0.014
 69 128.30 117.58 18.102         0.662 0.352 0.750       0.013 0.009 0.017 0.018
 70 129.13  24.08 18.456         1.128 0.564 1.108       0.024 0.014 0.014 0.023
 71 138.09  88.23 17.064         1.001 0.603 1.127       0.024 0.015 0.013 0.013
 72 138.59 199.06 19.318         0.587 0.388 0.737       0.025 0.021 0.016 0.024
 73 138.96 192.42 17.415         0.490 0.284 0.584       0.011 0.012 0.008 0.013
 74 140.21 180.62 21.064         0.853 0.509 0.897       0.083 0.065 0.050 0.095
 75 141.17 170.90 18.302         0.637 0.359 0.711       0.011 0.026 0.012 0.016
 76 142.66 152.24 19.589         0.716 0.376 0.775       0.032 0.024 0.016 0.023
 77 143.39 279.39 19.990         0.679 0.432 0.819       0.032 0.036 0.025 0.025
 78 144.34 242.45 18.582         0.607 0.348 0.678       0.013 0.013 0.012 0.016
 79 147.77 226.42 17.195         1.035 0.544 1.095       0.006 0.011 0.007 0.008
 80 148.53 300.37 18.772         0.565 0.384 0.769       0.014 0.015 0.015 0.013
 81 150.06  43.33 21.469         1.144 0.428 0.967       0.138 0.089 0.074 0.096
 82 151.11 120.48 20.379         0.700 0.463 0.886       0.054 0.037 0.035 0.048
 83 151.36 360.82 19.492         0.619 0.415 0.841       0.020 0.019 0.018 0.023
 84 151.97 326.04 17.329         0.621 0.340 0.729       0.029 0.023 0.023 0.024
 85 156.10 240.00 19.389         0.630 0.372 0.770       0.020 0.020 0.022 0.019
 86 157.78 212.25 18.085         0.589 0.341 0.724       0.014 0.007 0.010 0.010
 87 158.24 247.62 18.826         0.598 0.330 0.701       0.014 0.015 0.013 0.018
 88 158.94 256.52 19.817         0.737 0.414 0.874       0.029 0.028 0.021 0.027
 89 159.18 132.08 21.556         0.876 0.588 1.172       0.118 0.084 0.076 0.077
 90 160.96 283.09 18.467         0.613 0.364 0.722       0.009 0.012 0.011 0.013
 91 161.11 298.52 19.669         0.899 0.484 0.965       0.024 0.026 0.024 0.022
 92 161.67 273.00 19.945         0.685 0.438 0.884       0.038 0.028 0.027 0.024
 93 163.07  90.79 17.034         1.050 0.578 1.125       0.008 0.007 0.012 0.016
 94 163.71 391.37 19.452         0.782 0.324 0.779       0.023 0.021 0.018 0.023
 95 163.77  35.82 19.054         0.636 0.357 0.687       0.022 0.011 0.020 0.019
 96 164.45 134.28 19.983         0.799 0.404 0.802       0.038 0.024 0.027 0.030
 97 165.82 235.79 20.394         1.065 0.411 0.960       0.062 0.045 0.036 0.033
 98 166.08 353.28 19.815         0.664 0.456 0.845       0.038 0.022 0.019 0.030
 99 166.79 194.58 17.512         1.014 0.562 1.092       0.011 0.007 0.008 0.011
100 167.60 293.67 19.457         0.682 0.358 0.768       0.018 0.021 0.017 0.021
101 169.39 272.88 21.416         0.853 0.526 1.211       0.131 0.076 0.066 0.070
102 172.25 130.20 18.123         0.766 0.428 0.850       0.011 0.009 0.010 0.014
103 173.46  58.54 19.764         0.575 0.407 0.750       0.029 0.023 0.017 0.038
104 175.20 279.98 20.146         0.760 0.372 0.738       0.035 0.035 0.031 0.030
105 175.38 188.09 18.886         0.657 0.328 0.742       0.016 0.014 0.013 0.016
106 175.70 192.78 19.655         0.718 0.413 0.810       0.029 0.020 0.024 0.027
107 176.69 214.61 20.192         0.819 0.333 0.812       0.045 0.028 0.031 0.039
108 177.43 176.80 16.701         0.636 0.357 0.712       0.006 0.009 0.011 0.013
109 178.24 286.11 18.820         0.543 0.324 0.666       0.017 0.013 0.016 0.018
110 178.53 227.65 16.539         0.745 0.450 0.856       0.015 0.013 0.011 0.012
111 179.20 348.46 19.959         0.788 0.391 0.886       0.035 0.025 0.026 0.031
112 180.85 245.59 21.217         1.323 0.417 1.131       0.160 0.103 0.059 0.058
113 183.27 276.84 19.412         0.741 0.390 0.813       0.035 0.025 0.057 0.059
114 184.68  75.68 19.621         0.998 0.524 1.099       0.033 0.022 0.020 0.021
115 186.55 316.64 18.377         0.651 0.371 0.768       0.010 0.010 0.012 0.014
116 186.83 282.59 19.236         0.654 0.436 0.877       0.024 0.017 0.020 0.034
117 188.89 311.78 19.304         0.607 0.353 0.782       0.020 0.015 0.030 0.015
118 189.27 176.74 17.490         0.340 0.166 0.354       0.007 0.009 0.011 0.011
119 190.87 192.78 19.361         1.113 0.370 0.769       0.035 0.022 0.015 0.017
120 190.98 349.94 20.862         0.932 0.356 0.919       0.083 0.055 0.049 0.055
121 190.99 154.20 18.934         0.626 0.376 0.751       0.016 0.012 0.015 0.018
122 191.17 223.17 18.384         0.589 0.350 0.705       0.011 0.009 0.013 0.013
123 191.74 159.19 18.692         0.590 0.322 0.632       0.016 0.009 0.016 0.016
124 191.94 375.43 20.125         0.894 0.411 0.752       0.035 0.031 0.022 0.040
125 192.18 215.80 20.607         0.792 0.490 0.997       0.062 0.039 0.046 0.046
126 192.25 120.79 18.778         0.643 0.330 0.700       0.014 0.010 0.015 0.018
127 192.34 344.51 19.889         0.849 0.311 0.752       0.026 0.026 0.029 0.028
128 194.25 243.35 17.681         0.369 0.174 0.400       0.007 0.009 0.010 0.012
129 195.82 180.53 18.617         0.574 0.374 0.702       0.013 0.013 0.013 0.015
130 196.06 235.05 15.045         0.871 0.506 0.953       0.008 0.007 0.007 0.007
131 197.56 268.83 18.754         1.558 0.955 2.144       0.024 0.014 0.010 0.012
132 197.70 186.02 19.806         0.794 0.486 0.882       0.036 0.038 0.053 0.054
133 198.00 261.03 18.287         0.674 0.367 0.763       0.014 0.007 0.012 0.012
134 198.37 227.06 20.289         0.961 0.448 0.953       0.052 0.034 0.049 0.040
135 199.12 215.38 19.361         0.677 0.382 0.635       0.019 0.016 0.020 0.053
136 200.28  47.44 18.645         1.182 0.657 1.256       0.017 0.011 0.014 0.012
137 200.62  77.64 19.083         0.804 0.353 0.753       0.021 0.015 0.018 0.019
138 201.55  33.13 18.407         0.729 0.353 0.745       0.016 0.013 0.013 0.015
139 201.68 211.71 16.832         0.393 0.236 0.456       0.029 0.019 0.020 0.024
140 202.15 199.21 17.340         0.996 0.560 1.109       0.009 0.008 0.011 0.019
141 202.46 465.48 19.947         1.133 0.656 1.320       0.045 0.038 0.023 0.024
142 202.58 189.52 17.964         0.577 0.365 0.737       0.011 0.011 0.011 0.013
143 203.29 230.49 16.534         0.736 0.438 0.866       0.007 0.006 0.010 0.013
144 204.54 161.83 20.673         0.894 0.447 0.818       0.067 0.042 0.036 0.047
145 205.11 328.51 16.230         0.467 0.288 0.603       0.006 0.010 0.009 0.008
146 207.10 170.58 18.110         1.130 0.370 0.764       0.031 0.008 0.010 0.013
147 207.88 278.63 18.682         0.639 0.318 0.697       0.012 0.020 0.011 0.013
148 208.20 254.55 19.604         0.731 0.417 0.830       0.028 0.021 0.022 0.028
149 209.15 219.09 20.509         1.111 0.489 0.937       0.077 0.039 0.035 0.038
150 209.89 155.61 19.875         0.703 0.400 0.905       0.038 0.024 0.024 0.044
151 209.97 293.56 21.257         0.898 0.619 1.188       0.118 0.076 0.069 0.062
152 211.80 502.96 18.036         1.026 0.535 1.035       0.017 0.011 0.012 0.019
153 212.74 242.07 18.223         0.856 0.450 0.923       0.011 0.007 0.013 0.014
154 213.35 166.12 18.304         0.578 0.370 0.736       0.015 0.012 0.013 0.015
155 214.87 273.84 19.609         0.730 0.364 1.038       0.037 0.039 0.057 0.064
